,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
27,Burning Sands,Gerard McMurray,Stephanie Allain Jason Michael Berman Reginald Hudlin Mel Jones Camila Tanabe Patrick Raymond,,,Trevor Jackson Alfre Woodard Steve Harris Tosin Cole DeRon Horton Christian Robinson Trevante Rhodes Jay Q Saun Serayah,Kevin Lax,Isiah Donté Lee,Evan Schrodek,,Netflix,"January 24, 2017 ( Sundance ) March 10, 2017 (United States)",102 minutes,United States,English,,,102,,,24-01-17,,,,Gerard McMurray Christine Berg,Mandalay Pictures Homegrown Pictures Hudlin Entertainment Freedom Road Productions,,,,,,,,,,,,,,,,,,,,,
28,Deidra & Laney Rob a Train,Sydney Freeland,Susan Cartsonis Nick Moceri,,,Ashleigh Murray Rachel Crow Tim Blake Nelson David Sullivan Danielle Nicolet Sasheer Zamata Lance Gray,Mark Orton,Quyen Tran,Michael Taylor,Netflix,Netflix,"January 23, 2017 ( Sundance ) March 17, 2017 (United States)",,United States,English,,,,,,23-01-17,,,,Shelby Farrell,,,,,,,,,,,,,,,,,,,,,,
29,The Most Hated Woman in America,Tommy O'Haver,Max Handelman Elizabeth Banks Laura Rister,,,Devin Taylor          Freeman Melissa Leo Peter Fonda Sally Kirkland Rory Cochrane Josh Lucas Adam Scott Juno Temple Vincent Kartheiser,Alan Ari Lazar,Armando Salas,Michael X. Flores,,Netflix,"March 14, 2017 ( SXSW ) March 24, 2017 (United States)",91 minutes,United States,English,,,91,,,14-03-17,,,,Tommy O'Haver Irene Turner,Brownstone Productions Untitled Entertainment,,,,,,,,,,,,,,,,,,,,,
30,The Discovery,Charlie McDowell,Alex Orlovsky James D. Stern,,,Jason Segel Rooney Mara Jesse Plemons Riley Keough Robert Redford,Danny Bensi Saunder Jurriaans,Sturla Brandth Grøvlen,Jennifer Lilly,,Netflix,"January 20, 2017 ( Sundance ) March 31, 2017 (United States/Worldwide)",102 minutes,United States United Kingdom,English,,,102,,,20-01-17,,,,Justin Lader Charlie McDowell,Endgame Entertainment Protagonist Pictures A-Lo Films,,,,,,,,,,,,,,,,,,,,,
31,Win It All,Joe Swanberg,Joe Swanberg Jake Johnson Alex Orr,,,Jake Johnson Aislinn Derbez Joe Lo Truglio Keegan-Michael Key Nicky Excitement,Dan Romer,Eon Mora,Joe Swanberg,Forager Films Garrett Doubles Down,Netflix,"March 11, 2017 ( South by Southwest ) April 7, 2017 (United States)",90 minutes,United States,English,,,90,,,11-03-17,,,,Joe Swanberg Jake Johnson,,,,,,,,,,,,,,,,,,,,,,
32,Sandy Wexler,Steven Brill,Allen Covert Adam Sandler Ted Sarandos,,,Adam Sandler Jennifer Hudson Kevin James Terry Crews Rob Schneider Colin Quinn Lamorne Morris,Rupert Gregson-Williams,Dean Semler,Tom Costain,,Netflix,"April 7, 2017 ( Los Angeles ) April 14, 2017 (United States)",131 minutes,United States,English,$24.3 million,,131,24300000,,07-04-17,,,,Dan Bulla Paul Sado Adam Sandler,Happy Madison Productions,,,,,,,,,,,,,,,,,,,,,
33,Sand Castle,Fernando Coimbra,Mark Gordon Justin Nappi Ben Pugh,,,Nicholas Hoult Logan Marshall-Green Henry Cavill Glen Powell Beau Knapp Neil Brown Jr. Tommy Flanagan,Adam Peters,Ben Richardson,Zach Staenberg,,Netflix,21-Apr-17,113 minutes,United States,English,,,113,,,21-04-17,,,,Chris Roessner,42 Treehouse Pictures,,,,,,,,,,,,,,,,,,,,,
34,Tramps,Adam Leon,Joshua Astrachan David Kaplan Andrea Roa Jamund Washington,,,Callum Turner Grace Van Patten,Nicholas Britell,Ashley Connor,"['Morgan Faust', 'Sara Shaw']",,Netflix,"September 10, 2016 ( TIFF ) April 21, 2017 (US)",83 minutes,United States,English,,,83,,,10-09-16,,,,Adam Leon,Animal Kingdom Rooks Nest Entertainment,,,,,,,,,,,,,,,,,,,,,
35,Small Crimes,Evan Katz,David Lancaster Stephanie Wilcox,Evan Katz Macon Blair,"['Small Crimes', 'by', 'Dave Zeltserman']",Nikolaj Coster-Waldau Gary Cole Molly Parker Macon Blair Pat Healy Jacki Weaver Robert Forster,Will Blair Brooke Blair,Andrew Wheeler,Josh Ethier,Rooks Nest Entertainment Fairmount Films Rumble Films,Netflix,"March 11, 2017 ( SXSW ) April 28, 2017 (United States)",95 minutes,United States,English,,,95,,,11-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Handsome,Jeff Garlin,"['Brad Morris', 'Andrew Secunda']",,,"['Jeff Garlin', 'Natasha Lyonne', 'Amy Sedaris', 'Leah Remini', 'Christine Woods', 'Steven Weber']",Ben Folds,Jason Blount,Jon Corn,,Netflix,05-May-17,81 minutes,United States,English,,,81,,,05-05-17,,,,"['Jeff Garlin', 'Andrea Seigel']",JZM Films,,,,,,,,,,,,,,,,,,,,,
37,Blame!,Hiroyuki Seshita,Shuzo John Shiota,Sadayuki Murai,"['Blame!', 'by', 'Tsutomu Nihei']","['Takahiro Sakurai', 'Kana Hanazawa', 'Sora Amamiya', 'Mamoru Miyano', 'Aya Suzaki', 'Nobunaga Shimazaki']",Yugo Kanno,,Hiromi Amanai,,Netflix,20-May-17,106 minutes,Japan,Japanese,,,106,,,20-05-17,,,,Tsutomu Nihei,Polygon Pictures,Tsutomu Nihei,,,,,,,,,,,,,,,,,,,,
38,War Machine,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Ted Sarandos Ian Bryce,,"['The Operators', 'by', 'Michael Hastings']",Brad Pitt Anthony Michael Hall Anthony Hayes Topher Grace Will Poulter Tilda Swinton Ben Kingsley,Nick Cave Warren Ellis,Dariusz Wolski,Peter Sciberras,,Netflix,"May 24, 2017 ( High Street Phoenix ) May 26, 2017 (United States)",122 minutes,United States,English,$60 million,,122,60000000,,24-05-17,,,,David Michôd,Plan B Entertainment Blue-Tongue Films,,,,,,,,,,,,,,,,,,,,,
39,Shimmer Lake,Oren Uziel,Adam Saunders Britton Rizzio,,,Benjamin Walker Wyatt Russell Rainn Wilson Adam Pally John Michael Higgins Ron Livingston Stephanie Sigman Rob Corddry,Joseph Trapanese,Jarin Blaschke,Blake Maniquis,,Netflix,09-Jun-17,83 minutes,United States Canada,English,,,83,,,09-06-17,,,,Oren Uziel,Footprint Features Writ Large,,,,,,,,,,,,,,,,,,,,,
40,Okja,Bong Joon-ho,Dede Gardner Jeremy Kleiner Lewis Taewan Kim Dooho Choi Seo Woo-sik Bong Joon-ho Ted Sarandos,Bong Joon-ho Jon Ronson,,Tilda Swinton Paul Dano Ahn Seo-hyun Byun Hee-bong Steven Yeun Lily Collins Yoon Je-moon Shirley Henderson Daniel Henshall Devon Bostick Choi Woo-shik Giancarlo Esposito Jake Gyllenhaal,Jung Jae-il,Darius Khondji,Yang Jin-mo,Plan B Entertainment Lewis Pictures Kate Street Picture Company,"['Netflix', '(International)', 'Next Entertainment World', '(South Korea)']","May 19, 2017 ( Cannes ) June 28, 2017 (United States) June 29, 2017 (South Korea)",120 minutes,South Korea United States,English Korean,$50 million,$2 million,120,50000000,2000000,19-05-17,,,,,,Bong Joon-ho,,,,,,,,,,,,,,,,,,,,
41,To the Bone,Marti Noxon,Bonnie Curtis Karina Miller Julie Lynn,,,Lily Collins Carrie Preston Lili Taylor Keanu Reeves,Fil Eisler,Richard Wong,Elliot Greenberg,,Netflix,"January 22, 2017 ( Sundance ) July 14, 2017 ( Netflix )",107 minutes,United States,English,,,107,,,22-01-17,,,,Marti Noxon,AMBI Group Sparkhouse Media Foxtail Entertainment Mockingbird Pictures To The Bone Productions,,,,,,,,,,,,,,,,,,,,,
42,The Incredible Jessica James,James C. Strouse,"['Michael B. Clark', 'Alex Turtletaub']",,,"['Jessica Williams', ""Chris O'Dowd"", 'Noël Wells', 'Lakeith Stanfield', 'Megan Ketch', 'Zabryna Guevara']",Keegan DeWitt,Sean McElwee,Jesse Gordon,,Netflix,"January 27, 2017 ( Sundance Film Festival ) July 28, 2017 (United States)",83 minutes,United States,English,,,83,,,27-01-17,,,,James C. Strouse,Beachside Films,,,,,,,,,,,,,,,,,,,,,
43,Naked,Michael Tiddes,"['Ted Sarandos', 'Marlon Wayans', 'Rick Alvarez', 'Todd Garner', 'Ryan Lewis']","['Cory Koller', 'Marlon Wayans', 'Rick Alvarez']","['Naken', 'by Torkel Knutsson', 'Mårten Knutsson']","['Marlon Wayans', 'Regina Hall', 'Loretta Devine', 'J.T. Jackson', 'Eliza Coupe', 'Scott Foley', 'Dave Sheridan', 'Neil Brown Jr.', 'Brian McKnight', 'Dennis Haysbert']",David Newman,David Ortkiese,Lawrence Jordan,,Netflix,11-Aug-17,96 minutes,United States,English,,,96,,,11-08-17,,,,,"['Broken Road Productions', 'Baby Way Productions']",,,,,,,,,,,,,,,,,,,,,
44,Death Note,Adam Wingard,Roy Lee Dan Lin Masi Oka Jason Hoffs Ted Sarandos,Charles Parlapanides Vlas Parlapanides Jeremy Slater,"['Death Note', 'by', 'Tsugumi Ohba', 'Takeshi Obata']",Nat Wolff Lakeith Stanfield Margaret Qualley Shea Whigham Paul Nakauchi Jason Liles Willem Dafoe,Atticus Ross Leopold Ross,David Tattersall,Louis Cioffi,LP Entertainment Vertigo Entertainment Lin Pictures,Netflix,"August 24, 2017 ( FrightFest ) August 25, 2017 (Netflix)",100 minutes,United States,English,$40 million,,100,40000000,,24-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Little Evil,Eli Craig,Jason Michael Berman Scott Stuber,,,Evangeline Lilly Adam Scott Bridget Everett Owen Atlas Kyle Bornheimer Chris D'Elia Donald Faison Carla Gallo Tyler Labine Brad Williams Clancy Brown Sally Field,"['Marco Beltrami', 'Brandon Roberts', 'Marcus Trumpp']",Matthew Clark,Tia Nolan,,Netflix,"September 1, 2017 (United States)",95 minutes,United States,English,$7.5 million,,95,7500000,,01-09-17,,,,Eli Craig,Bluegrass Films Mandalay Pictures,,,,,,,,,,,,,,,,,,,,,
46,Reality High,Fernando Lebrija,"['Jane Fleming', 'Mark Ordesky']",,,"['Nesta Cooper', 'Keith Powers']",Ruwanga Samath,Pietro Zuercher,"['Radu Ion', 'Amy McGrath']",,Netflix,"September 8, 2017 (United States)",99 minutes,United States,English,,,99,,,08-09-17,,,,"['Brandon Broussard', 'Hudson Obayuwana', 'Jana Savage']",,,,,,,,,,,,,,,,,,,,,,
47,First They Killed My Father,Angelina Jolie,Angelina Jolie Rithy Panh Ted Sarandos Michael Vieira,Loung Ung Angelina Jolie,"['First They Killed My Father', 'by Loung Ung']",Sreymoch Sareum Kompheak Phoeung Socheata Sveng Dara Heng Kimhak Mun,Marco Beltrami,Anthony Dod Mantle,Xavier Box Patricia Rommel,,Netflix,"February 18, 2017 ( Siem Reap ) September 15, 2017 (United States)",136 minutes,Cambodia United States,Khmer English French,$22 million,,136,22000000,,18-02-17,,,,,Jolie Pas,,,,,,,,,,,,,,,,,,,,,
48,Gerald's Game,Mike Flanagan,Trevor Macy,,"[""Gerald's Game"", 'by', 'Stephen King']",Carla Gugino Bruce Greenwood,The Newton Brothers,Michael Fimognari,Mike Flanagan,,Netflix,"September 19, 2017 ( BFI Southbank ) September 29, 2017 (United States)",103 minutes,United States,English,,,103,,,19-09-17,,,,Mike Flanagan Jeff Howard,Intrepid Pictures,,,,,,,,,,,,,,,,,,,,,
49,Our Souls at Night,Ritesh Batra,Robert Redford Erin Simms Finola Dwyer,Scott Neustadter Michael H. Weber,"['Our Souls at Night', 'by', 'Kent Haruf']",Robert Redford Jane Fonda,Elliot Goldenthal,Stephen Goldblatt,John F. Lyons,,Netflix,"September 1, 2017 ( Venice ) September 29, 2017 (United States)",101 minutes,United States,English,,,101,,,01-09-17,,,,,"['Netflix', 'Wildwood Enterprises, Inc']",,,,,,,,,,,,,,,,,,,,,
50,Bomb Scared,Borja Cobeaga,,,,Javier Cámara Julián López Miren Ibarguren,,,,Deluxe Spain Mediapro Netflix,Netflix,"October 12, 2017 (Spain)",89 minutes,Spain,Spanish,,,89,,,12-10-17,,,,Diego San José Borja Cobeaga,,,,,,,,,,,,,,,,,,,,,,
51,The Babysitter,McG,McG Mary Viola Zack Schiller,,,Samara Weaving Judah Lewis Hana Mae Lee Robbie Amell Bella Thorne,Douglas Pipes,Shane Hurlbut,Peter Gvozdas Martin Bernfeld,Boies / Schiller Film Group Production Wonderland Sound and Vision,Netflix,"October 13, 2017 (United States)",85 minutes,United States,English,,,85,,,13-10-17,,,,Brian Duffield,,,,,,,,,,,,,,,,,,,,,,
52,The Meyerowitz Stories (New and Selected),Noah Baumbach,Scott Rudin Noah Baumbach Lila Yacoub Eli Bush,,,Adam Sandler Ben Stiller Dustin Hoffman Emma Thompson,Randy Newman,Robbie Ryan,Jennifer Lame,,Netflix,"May 21, 2017 ( Cannes ) October 13, 2017 (United States)",112 minutes,United States,English,$11.4 million,"~$20,000",112,11400000,20000,21-05-17,,,,Noah Baumbach,IAC Films Scott Rudin Productions,,,,,,,,,,,,,,,,,,,,,
53,1922,Zak Hilditch,Ross M. Dinerstein,,"['1922', 'by', 'Stephen King']","['Thomas Jane', 'Neal McDonough', 'Molly Parker']",Mike Patton,Ben Richardson,Merlin Eden,,Netflix,23 September 2017 ( Fantastic Fest ) 20 October 2017 ( Netflix ),101 minutes,United States,English,,,101,,,23-09-17,,,,Zak Hilditch,"['Campfire Productions', 'Mist Entertainment']",,,,,,,,,,,,,,,,,,,,,
